band,total,bad,good,cum_bad,cum_good,ks
"(0.349, 0.616]",37811,15782,22029,0.21735597515459515,0.0721091998232377,14.524677533135744
"(0.284, 0.349]",37810,11673,26137,0.37812116955198394,0.1576654282394147,22.045574131256924
"(0.241, 0.284]",37806,9755,28051,0.5124709058105744,0.24948689831257467,26.298400749799978
"(0.205, 0.241]",37812,8379,29433,0.6278698233001418,0.34583217401266797,28.20376492874739
"(0.175, 0.205]",37811,7149,30662,0.7263286920354226,0.4462004288122555,28.01282632231671
"(0.146, 0.175]",37808,5998,31810,0.8089355314079522,0.5503265192556342,25.86090121523179
"(0.12, 0.146]",37815,4984,32831,0.8775771598562162,0.6577947265912699,21.978243326494628
"(0.0915, 0.12]",37810,4182,33628,0.9351733256207908,0.7678718145959835,16.73015110248073
"(0.0591, 0.0915]",37805,2907,34898,0.9752096847498244,0.8821060901160411,9.310359463378326
"(0.016, 0.0591]",37816,1800,36016,1.0,1.0,0.0
